Protocol,Size,Time_run0_microseconds,Time_run1_microseconds,Time_run2_microseconds,Time_run3_microseconds,Time_run4_microseconds,Time_run5_microseconds,Time_run6_microseconds,Time_run7_microseconds,Time_run8_microseconds,Time_run9_microseconds,Time_run10_microseconds,Time_run11_microseconds,Time_run12_microseconds,Time_run13_microseconds,Time_run14_microseconds,Time_run15_microseconds,Time_run16_microseconds,Time_run17_microseconds,Time_run18_microseconds,Time_run19_microseconds,Time_run20_microseconds,Time_run21_microseconds,Time_run22_microseconds,Time_run23_microseconds,Time_run24_microseconds,Time_run25_microseconds,Time_run26_microseconds,Time_run27_microseconds,Time_run28_microseconds,Time_run29_microseconds,Time_run30_microseconds,Time_run31_microseconds,Time_run32_microseconds,Time_run33_microseconds,Time_run34_microseconds,Time_run35_microseconds,Time_run36_microseconds,Time_run37_microseconds,Time_run38_microseconds,Time_run39_microseconds,Time_run40_microseconds,Time_run41_microseconds,Time_run42_microseconds,Time_run43_microseconds,Time_run44_microseconds,Time_run45_microseconds,Time_run46_microseconds,Time_run47_microseconds,Time_run48_microseconds,Time_run49_microseconds
Classic,6858,110680,99887,100975,98590,110860,92344,104666,117411,119498,114792,117516,89271,95907,91170,126331,119036,92300,116357,114767,123559,153600,102336,147139,106308,101137,124638,115662,89740,98472,122209,120972,126285,104623,138307,119382,100668,107505,110963,114418,169611,91069,113551,117175,84887,104893,89851,96114,123083,99597,100731
Classic,15862,224718,209765,238591,236432,251853,191012,227098,259326,216107,197311,221872,189725,194980,244621,221183,237245,256071,215998,249749,304782,234576,268468,250823,251889,227508,263641,230954,240962,230126,229686,230024,251902,253483,197339,222364,234903,223636,209862,231157,212372,208623,202408,252373,227342,256096,234781,188611,256152,231081,227358
Classic,33088,467382,518580,462587,492368,467376,499846,478635,501078,462255,499651,519517,468538,523243,473017,477211,499796,490142,466072,475996,488496,471117,472244,529467,474877,481074,492402,533559,504844,533385,505680,493632,474845,528540,489767,483483,498511,479530,474324,520980,464883,494673,519721,511006,509768,474718,563638,467218,549628,511050,539832
Classic,41684,622239,636088,629570,637069,587225,669919,622498,615033,610104,578357,608092,618714,590282,584502,607443,603198,661176,583300,615612,623604,592216,673455,684741,613614,597039,664359,594416,643517,616033,559385,611044,644572,596026,621274,634863,649725,657292,607394,584847,658638,599834,692312,593671,601106,591137,599843,633525,648895,632354,589832
Classic,71676,1061087,1002313,1054895,1039909,1006532,1058386,1046103,1019760,1059410,1038496,1012133,1072051,999750,967209,1058222,1079586,1074771,1062634,1168620,1044501,1033447,1073518,1043355,1019715,1021022,1059784,1009778,1074632,1019402,1067186,1018667,1053603,1066120,1036082,1067324,1027431,1089786,1038648,1007374,1073655,1003660,1058624,1018680,1081174,1059906,1038692,1053585,1037494,1001137,1035736
Classic,96620,1477536,1427008,1416416,1430711,1503562,1421145,1428469,1386119,1392344,1380872,1368634,1429797,1398655,1318600,1369624,1463594,1392339,1373562,1422341,1435431,1368428,1413311,1376473,1459404,1358504,1455891,1461800,1466059,1402055,1510780,1430770,1436001,1441084,1368689,1430795,1389676,1412329,1441037,1387243,1499870,1416878,1437132,1454700,1360035,1396915,1351160,1427018,1414522,1372157,1365900
BLE,6858,444269,445341,415557,474341,489702,474611,474420,474310,460321,415157,475697,459338,489937,489460,429485,444007,489343,459407,475151,489656,459837,474515,459837,459530,474321,490250,430068,416049,505242,429548,446997,459801,415535,476281,476024,446186,490456,505046,475825,429799,445388,489012,490404,459018,414849,431163,460601,491415,429598,460411
BLE,15862,999570,999991,1014836,1014322,984044,970145,1015192,985964,1045902,1045132,1015519,954390,999977,999417,1000428,1029178,1044782,1029825,1075001,1075186,1045121,1029624,984476,1015723,1014620,1013899,1060197,1029861,1029902,1029537,1014864,1059478,984165,1029629,999076,969583,1060249,969619,1059868,1031841,1046241,1031131,1165702,1044745,969508,999920,1030580,1044660,1150566,984590
BLE,33088,4512273,4414880,3791381,4390964,4031901,4031854,3911114,4031383,4150899,3970980,3851280,4030657,4032017,4331837,3850792,4032987,4135193,4195594,4189252,4376183,4007836,3896776,4032979,3972899,3911282,3948182,3835999,3970644,3731650,4143858,4150757,3790430,4210755,4331178,3911391,4031231,4031512,3971262,4255394,4016541,4024200,4151951,3888521,4031168,4031548,4571535,4211477,4353639,3972540,4256245
BLE,41684,6249958,6125577,5949666,6123709,6372096,6492133,6237385,6490882,6251599,6132148,5951468,6534683,6154337,6356250,6453305,6191717,6281346,5987950,6288502,6070651,6595639,6896184,6603914,6295321,6574364,6371921,5936144,6006409,6131979,6131808,6011870,6177093,5831297,6251754,6431960,6311811,6251124,6070718,5892009,5764053,5951093,6664250,6071329,6310938,6416860,6416470,6244550,6131682,6056513,6229372
BLE,71676,14471344,14471750,13331366,14097466,13692529,13571471,13414097,13684504,14104376,13736489,13614879,13556296,13992055,13668731,13520292,13573466,13195592,14156503,14298863,13729858,14156475,13617260,13871391,13009008,14276203,14291377,13429192,13548591,14373130,14509567,14216954,13623532,13752606,13450939,13669256,13931790,14111112,13691868,13728362,14471373,13617012,13871355,14591683,13849382,13452025,13631283,13811435,13511830,13332262,13811477
