Run,Buffer size,Total Sending Time (microseconds)
1,512,2647439
2,512,2495728
3,512,2549250
4,512,2604558
5,512,2536110
6,512,2503567
7,512,2529943
8,512,2612439
9,512,2521001
10,512,2596172
11,512,2620870
12,512,2563564
13,512,2537219
14,512,2578696
15,512,2571915
16,512,2623545
17,512,2650939
18,512,2513546
19,512,2453262
20,512,2604798
21,1024,1898578
22,1024,1896119
23,1024,1917020
24,1024,1903653
25,1024,1916471
26,1024,1922324
27,1024,1911175
28,1024,1916398
29,1024,1913670
30,1024,1891918
31,1024,1864944
32,1024,1872404
33,1024,1931185
34,1024,1993566
35,1024,1924806
36,1024,1994462
37,1024,1907380
38,1024,1981027
39,1024,1932361
40,1024,1993619
41,2048,1517484
42,2048,1463316
43,2048,1423650
44,2048,1406303
45,2048,1396435
46,2048,1488689
47,2048,1403755
48,2048,1386169
49,2048,1446987
50,2048,1418738
51,2048,1379865
52,2048,1453546
53,2048,1487418
54,2048,1394455
55,2048,1423037
56,2048,1456409
57,2048,1410932
58,2048,1417087
59,2048,1531202
60,2048,1390704
61,4096,993538
62,4096,1042192
63,4096,969853
64,4096,1073569
65,4096,1084760
66,4096,962262
67,4096,1058682
68,4096,997336
69,4096,1064470
70,4096,999797
71,4096,973038
72,4096,997435
73,4096,1056138
74,4096,959744
75,4096,1006224
76,4096,1008242
77,4096,1009912
78,4096,1016229
79,4096,1056209
80,4096,1037480
81,8192,906056
82,8192,868535
83,8192,882306
84,8192,903448
85,8192,868149
86,8192,888832
87,8192,843180
88,8192,850071
89,8192,836112
90,8192,873394
91,8192,828607
92,8192,837191
93,8192,833393
94,8192,905978
95,8192,820085
96,8192,865082
97,8192,923506
98,8192,820636
99,8192,907225
100,8192,881245
101,16384,709753
102,16384,764554
103,16384,702342
104,16384,742083
105,16384,731143
106,16384,697316
107,16384,719450
108,16384,752401
109,16384,694569
110,16384,717462
111,16384,705986
112,16384,733649
113,16384,683621
114,16384,752488
115,16384,723641
116,16384,698508
117,16384,739703
118,16384,688704
119,16384,716107
120,16384,684928
