Run,Protocol,Size,Total Sending Time (microseconds)
1,Classic,6858,110680
2,Classic,6858,99887
3,Classic,6858,100975
4,Classic,6858,98590
5,Classic,6858,110860
6,Classic,6858,92344
7,Classic,6858,104666
8,Classic,6858,117411
9,Classic,6858,119498
10,Classic,6858,114792
11,Classic,6858,117516
12,Classic,6858,89271
13,Classic,6858,95907
14,Classic,6858,91170
15,Classic,6858,126331
16,Classic,6858,119036
17,Classic,6858,92300
18,Classic,6858,116357
19,Classic,6858,114767
20,Classic,6858,123559
21,Classic,6858,153600
22,Classic,6858,102336
23,Classic,6858,147139
24,Classic,6858,106308
25,Classic,6858,101137
26,Classic,6858,124638
27,Classic,6858,115662
28,Classic,6858,89740
29,Classic,6858,98472
30,Classic,6858,122209
31,Classic,6858,120972
32,Classic,6858,126285
33,Classic,6858,104623
34,Classic,6858,138307
35,Classic,6858,119382
36,Classic,6858,100668
37,Classic,6858,107505
38,Classic,6858,110963
39,Classic,6858,114418
40,Classic,6858,169611
41,Classic,6858,91069
42,Classic,6858,113551
43,Classic,6858,117175
44,Classic,6858,84887
45,Classic,6858,104893
46,Classic,6858,89851
47,Classic,6858,96114
48,Classic,6858,123083
49,Classic,6858,99597
50,Classic,6858,100731
51,Classic,15862,224718
52,Classic,15862,209765
53,Classic,15862,238591
54,Classic,15862,236432
55,Classic,15862,251853
56,Classic,15862,191012
57,Classic,15862,227098
58,Classic,15862,259326
59,Classic,15862,216107
60,Classic,15862,197311
61,Classic,15862,221872
62,Classic,15862,189725
63,Classic,15862,194980
64,Classic,15862,244621
65,Classic,15862,221183
66,Classic,15862,237245
67,Classic,15862,256071
68,Classic,15862,215998
69,Classic,15862,249749
70,Classic,15862,304782
71,Classic,15862,234576
72,Classic,15862,268468
73,Classic,15862,250823
74,Classic,15862,251889
75,Classic,15862,227508
76,Classic,15862,263641
77,Classic,15862,230954
78,Classic,15862,240962
79,Classic,15862,230126
80,Classic,15862,229686
81,Classic,15862,230024
82,Classic,15862,251902
83,Classic,15862,253483
84,Classic,15862,197339
85,Classic,15862,222364
86,Classic,15862,234903
87,Classic,15862,223636
88,Classic,15862,209862
89,Classic,15862,231157
90,Classic,15862,212372
91,Classic,15862,208623
92,Classic,15862,202408
93,Classic,15862,252373
94,Classic,15862,227342
95,Classic,15862,256096
96,Classic,15862,234781
97,Classic,15862,188611
98,Classic,15862,256152
99,Classic,15862,231081
100,Classic,15862,227358
101,Classic,33088,467382
102,Classic,33088,518580
103,Classic,33088,462587
104,Classic,33088,492368
105,Classic,33088,467376
106,Classic,33088,499846
107,Classic,33088,478635
108,Classic,33088,501078
109,Classic,33088,462255
110,Classic,33088,499651
111,Classic,33088,519517
112,Classic,33088,468538
113,Classic,33088,523243
114,Classic,33088,473017
115,Classic,33088,477211
116,Classic,33088,499796
117,Classic,33088,490142
118,Classic,33088,466072
119,Classic,33088,475996
120,Classic,33088,488496
121,Classic,33088,471117
122,Classic,33088,472244
123,Classic,33088,529467
124,Classic,33088,474877
125,Classic,33088,481074
126,Classic,33088,492402
127,Classic,33088,533559
128,Classic,33088,504844
129,Classic,33088,533385
130,Classic,33088,505680
131,Classic,33088,493632
132,Classic,33088,474845
133,Classic,33088,528540
134,Classic,33088,489767
135,Classic,33088,483483
136,Classic,33088,498511
137,Classic,33088,479530
138,Classic,33088,474324
139,Classic,33088,520980
140,Classic,33088,464883
141,Classic,33088,494673
142,Classic,33088,519721
143,Classic,33088,511006
144,Classic,33088,509768
145,Classic,33088,474718
146,Classic,33088,563638
147,Classic,33088,467218
148,Classic,33088,549628
149,Classic,33088,511050
150,Classic,33088,539832
151,Classic,41684,622239
152,Classic,41684,636088
153,Classic,41684,629570
154,Classic,41684,637069
155,Classic,41684,587225
156,Classic,41684,669919
157,Classic,41684,622498
158,Classic,41684,615033
159,Classic,41684,610104
160,Classic,41684,578357
161,Classic,41684,608092
162,Classic,41684,618714
163,Classic,41684,590282
164,Classic,41684,584502
165,Classic,41684,607443
166,Classic,41684,603198
167,Classic,41684,661176
168,Classic,41684,583300
169,Classic,41684,615612
170,Classic,41684,623604
171,Classic,41684,592216
172,Classic,41684,673455
173,Classic,41684,684741
174,Classic,41684,613614
175,Classic,41684,597039
176,Classic,41684,664359
177,Classic,41684,594416
178,Classic,41684,643517
179,Classic,41684,616033
180,Classic,41684,559385
181,Classic,41684,611044
182,Classic,41684,644572
183,Classic,41684,596026
184,Classic,41684,621274
185,Classic,41684,634863
186,Classic,41684,649725
187,Classic,41684,657292
188,Classic,41684,607394
189,Classic,41684,584847
190,Classic,41684,658638
191,Classic,41684,599834
192,Classic,41684,692312
193,Classic,41684,593671
194,Classic,41684,601106
195,Classic,41684,591137
196,Classic,41684,599843
197,Classic,41684,633525
198,Classic,41684,648895
199,Classic,41684,632354
200,Classic,41684,589832
201,Classic,71676,1061087
202,Classic,71676,1002313
203,Classic,71676,1054895
204,Classic,71676,1039909
205,Classic,71676,1006532
206,Classic,71676,1058386
207,Classic,71676,1046103
208,Classic,71676,1019760
209,Classic,71676,1059410
210,Classic,71676,1038496
211,Classic,71676,1012133
212,Classic,71676,1072051
213,Classic,71676,999750
214,Classic,71676,967209
215,Classic,71676,1058222
216,Classic,71676,1079586
217,Classic,71676,1074771
218,Classic,71676,1062634
219,Classic,71676,1168620
220,Classic,71676,1044501
221,Classic,71676,1033447
222,Classic,71676,1073518
223,Classic,71676,1043355
224,Classic,71676,1019715
225,Classic,71676,1021022
226,Classic,71676,1059784
227,Classic,71676,1009778
228,Classic,71676,1074632
229,Classic,71676,1019402
230,Classic,71676,1067186
231,Classic,71676,1018667
232,Classic,71676,1053603
233,Classic,71676,1066120
234,Classic,71676,1036082
235,Classic,71676,1067324
236,Classic,71676,1027431
237,Classic,71676,1089786
238,Classic,71676,1038648
239,Classic,71676,1007374
240,Classic,71676,1073655
241,Classic,71676,1003660
242,Classic,71676,1058624
243,Classic,71676,1018680
244,Classic,71676,1081174
245,Classic,71676,1059906
246,Classic,71676,1038692
247,Classic,71676,1053585
248,Classic,71676,1037494
249,Classic,71676,1001137
250,Classic,71676,1035736
251,Classic,96620,1477536
252,Classic,96620,1427008
253,Classic,96620,1416416
254,Classic,96620,1430711
255,Classic,96620,1503562
256,Classic,96620,1421145
257,Classic,96620,1428469
258,Classic,96620,1386119
259,Classic,96620,1392344
260,Classic,96620,1380872
261,Classic,96620,1368634
262,Classic,96620,1429797
263,Classic,96620,1398655
264,Classic,96620,1318600
265,Classic,96620,1369624
266,Classic,96620,1463594
267,Classic,96620,1392339
268,Classic,96620,1373562
269,Classic,96620,1422341
270,Classic,96620,1435431
271,Classic,96620,1368428
272,Classic,96620,1413311
273,Classic,96620,1376473
274,Classic,96620,1459404
275,Classic,96620,1358504
276,Classic,96620,1455891
277,Classic,96620,1461800
278,Classic,96620,1466059
279,Classic,96620,1402055
280,Classic,96620,1510780
281,Classic,96620,1430770
282,Classic,96620,1436001
283,Classic,96620,1441084
284,Classic,96620,1368689
285,Classic,96620,1430795
286,Classic,96620,1389676
287,Classic,96620,1412329
288,Classic,96620,1441037
289,Classic,96620,1387243
290,Classic,96620,1499870
291,Classic,96620,1416878
292,Classic,96620,1437132
293,Classic,96620,1454700
294,Classic,96620,1360035
295,Classic,96620,1396915
296,Classic,96620,1351160
297,Classic,96620,1427018
298,Classic,96620,1414522
299,Classic,96620,1372157
300,Classic,96620,1365900
301,BLE,6858,444269
302,BLE,6858,445341
303,BLE,6858,415557
304,BLE,6858,474341
305,BLE,6858,489702
306,BLE,6858,474611
307,BLE,6858,474420
308,BLE,6858,474310
309,BLE,6858,460321
310,BLE,6858,415157
311,BLE,6858,475697
312,BLE,6858,459338
313,BLE,6858,489937
314,BLE,6858,489460
315,BLE,6858,429485
316,BLE,6858,444007
317,BLE,6858,489343
318,BLE,6858,459407
319,BLE,6858,475151
320,BLE,6858,489656
321,BLE,6858,459837
322,BLE,6858,474515
323,BLE,6858,459837
324,BLE,6858,459530
325,BLE,6858,474321
326,BLE,6858,490250
327,BLE,6858,430068
328,BLE,6858,416049
329,BLE,6858,505242
330,BLE,6858,429548
331,BLE,6858,446997
332,BLE,6858,459801
333,BLE,6858,415535
334,BLE,6858,476281
335,BLE,6858,476024
336,BLE,6858,446186
337,BLE,6858,490456
338,BLE,6858,505046
339,BLE,6858,475825
340,BLE,6858,429799
341,BLE,6858,445388
342,BLE,6858,489012
343,BLE,6858,490404
344,BLE,6858,459018
345,BLE,6858,414849
346,BLE,6858,431163
347,BLE,6858,460601
348,BLE,6858,491415
349,BLE,6858,429598
350,BLE,6858,460411
351,BLE,15862,999570
352,BLE,15862,999991
353,BLE,15862,1014836
354,BLE,15862,1014322
355,BLE,15862,984044
356,BLE,15862,970145
357,BLE,15862,1015192
358,BLE,15862,985964
359,BLE,15862,1045902
360,BLE,15862,1045132
361,BLE,15862,1015519
362,BLE,15862,954390
363,BLE,15862,999977
364,BLE,15862,999417
365,BLE,15862,1000428
366,BLE,15862,1029178
367,BLE,15862,1044782
368,BLE,15862,1029825
369,BLE,15862,1075001
370,BLE,15862,1075186
371,BLE,15862,1045121
372,BLE,15862,1029624
373,BLE,15862,984476
374,BLE,15862,1015723
375,BLE,15862,1014620
376,BLE,15862,1013899
377,BLE,15862,1060197
378,BLE,15862,1029861
379,BLE,15862,1029902
380,BLE,15862,1029537
381,BLE,15862,1014864
382,BLE,15862,1059478
383,BLE,15862,984165
384,BLE,15862,1029629
385,BLE,15862,999076
386,BLE,15862,969583
387,BLE,15862,1060249
388,BLE,15862,969619
389,BLE,15862,1059868
390,BLE,15862,1031841
391,BLE,15862,1046241
392,BLE,15862,1031131
