File_size,Buffer_size,Time_run0_microseconds,Time_run1_microseconds,Time_run2_microseconds,Time_run3_microseconds,Time_run4_microseconds,Time_run5_microseconds,Time_run6_microseconds,Time_run7_microseconds,Time_run8_microseconds,Time_run9_microseconds,Time_run10_microseconds,Time_run11_microseconds,Time_run12_microseconds,Time_run13_microseconds,Time_run14_microseconds,Time_run15_microseconds,Time_run16_microseconds,Time_run17_microseconds,Time_run18_microseconds,Time_run19_microseconds
41670,512,1460954,1507114,1488355,1443501,1457223,1424610,1477287,1427295,1423442,1474608,1509718,1448093,1475880,1517371,1539432,1490761,1516973,1542334,1478616,1482373
41670,1024,1065929,1065724,1088497,1157362,1077383,1248591,1118629,1072124,1076115,1094612,1107146,1106482,1110818,1142281,1109228,1086080,1133275,1125707,1144816,1069795
41670,2048,848529,818103,824826,786073,835649,830904,852331,835653,814690,787039,901203,796476,847301,886198,859680,848288,817288,837303,800646,786150
41670,4096,621274,634863,649725,599834,692312,593671,601106,684741,613614,597039,629570,637069,587225,669919,589832,622239,636088,622498,615033,610104
41670,8192,535881,607405,544853,504505,505395,527948,529626,633401,484831,559861,563035,562241,528204,533450,519711,477375,573598,602371,521118,511568
41670,16384,429381,450903,454674,439736,399849,423449,445976,404808,418531,457153,404539,462275,423639,447349,424414,416953,404724,440489,412418,458316
71662,512,2647439,2495728,2549250,2604558,2536110,2503567,2529943,2612439,2521001,2596172,2620870,2563564,2537219,2578696,2571915,2623545,2650939,2513546,2453262,2604798
71662,1024,1898578,1896119,1917020,1903653,1916471,1922324,1911175,1916398,1913670,1891918,1864944,1872404,1931185,1993566,1924806,1994462,1907380,1981027,1932361,1993619
71662,2048,1517484,1463316,1423650,1406303,1396435,1488689,1403755,1386169,1446987,1418738,1379865,1453546,1487418,1394455,1423037,1456409,1410932,1417087,1531202,1390704
71662,4096,993538,1042192,969853,1073569,1084760,962262,1058682,997336,1064470,999797,973038,997435,1056138,959744,1006224,1008242,1009912,1016229,1056209,1037480
71662,8192,906056,868535,882306,903448,868149,888832,843180,850071,836112,873394,828607,837191,833393,905978,820085,865082,923506,820636,907225,881245
71662,16384,709753,764554,702342,742083,731143,697316,719450,752401,694569,717462,705986,733649,683621,752488,723641,698508,739703,688704,716107,684928
